#  N   trapezoid     Simpsons      Gauss  
#-----------------------------------------
4.804021e+00  -1.206850e+01  -6.431653e+00  -1.513077e+01
4.812184e+00  -1.205220e+01  -1.634351e+01  -1.540976e+01
4.820282e+00  -1.215425e+01  -6.448071e+00  -1.540976e+01
4.828314e+00  -1.219072e+01  -1.513077e+01  -1.603405e+01
4.836282e+00  -1.211906e+01  -6.464339e+00  -1.513077e+01
4.844187e+00  -1.219072e+01  -1.603405e+01  -1.634351e+01
4.852030e+00  -1.224805e+01  -6.480323e+00  -1.556357e+01
4.859812e+00  -1.220947e+01  -1.805086e+01  -1.805086e+01
4.867534e+00  -1.219072e+01  -6.495816e+00  -1.482970e+01
4.875197e+00  -1.232998e+01  -1.502834e+01  -1.634351e+01
4.882802e+00  -1.235156e+01  -6.511363e+00  -1.482970e+01
4.890349e+00  -1.224805e+01  -1.603405e+01  -1.482970e+01
4.897840e+00  -1.228817e+01  -6.526512e+00  -1.540976e+01
4.905275e+00  -1.228817e+01  -1.513077e+01  -1.634351e+01
4.912655e+00  -1.232998e+01  -6.541566e+00  -1.634351e+01
4.919981e+00  -1.232998e+01  -1.634351e+01  -1.634351e+01
4.927254e+00  -1.237361e+01  -6.556054e+00  -1.603405e+01
4.934474e+00  -1.226791e+01  -1.556357e+01  -1.805086e+01
4.941642e+00  -1.246704e+01  -6.571092e+00  -1.603405e+01
4.948760e+00  -1.239616e+01  -1.475290e+01  -1.540976e+01
4.955827e+00  -1.237361e+01  -6.585129e+00  -1.513077e+01
4.962845e+00  -1.237361e+01  -1.634351e+01  -1.805086e+01
4.969813e+00  -1.241923e+01  -6.599228e+00  -1.634351e+01
4.976734e+00  -1.241923e+01  -1.556357e+01  -1.603405e+01
4.983607e+00  -1.246704e+01  -6.612966e+00  -1.805086e+01
4.990433e+00  -1.251724e+01  -1.475290e+01  -1.513077e+01
4.997212e+00  -1.241923e+01  -6.626967e+00  -1.502834e+01
5.003946e+00  -1.246704e+01  -1.603405e+01  -1.634351e+01
5.010635e+00  -1.249182e+01  -6.640878e+00  -1.634351e+01
5.017280e+00  -1.257010e+01  -1.513077e+01  -1.540976e+01
5.023881e+00  -1.254332e+01  -6.653668e+00  -1.540976e+01
5.030438e+00  -1.259761e+01  -1.603405e+01  -1.482970e+01
5.036953e+00  -1.254332e+01  -6.667438e+00  -1.502834e+01
5.043425e+00  -1.257010e+01  -1.805086e+01  -1.513077e+01
5.049856e+00  -1.254332e+01  -6.680124e+00  -1.603405e+01
5.056246e+00  -1.259761e+01  -1.482970e+01  -1.805086e+01
5.062595e+00  -1.259761e+01  -6.693125e+00  -1.459860e+01
5.068904e+00  -1.254332e+01  -1.513077e+01  -1.805086e+01
5.075174e+00  -1.265502e+01  -6.705526e+00  -1.556357e+01
5.081404e+00  -1.274783e+01  -1.805086e+01  -1.513077e+01
5.087596e+00  -1.268501e+01  -6.718161e+00  -1.540976e+01
5.093750e+00  -1.262590e+01  -1.502834e+01  -1.475290e+01
5.099866e+00  -1.281487e+01  -6.730800e+00  -1.634351e+01
5.105945e+00  -1.278079e+01  -1.603405e+01  -1.502834e+01
5.111988e+00  -1.278079e+01  -6.743361e+00  -1.540976e+01
5.117994e+00  -1.288672e+01  -1.435983e+01  -1.634351e+01
5.123964e+00  -1.278079e+01  -6.754948e+00  -1.540976e+01
5.129899e+00  -1.271593e+01  -1.502834e+01  -1.540976e+01
5.135798e+00  -1.296414e+01  -6.766752e+00  -1.603405e+01
5.141664e+00  -1.271593e+01  -1.603405e+01  -1.513077e+01
5.147494e+00  -1.288672e+01  -6.778532e+00  -1.502834e+01
5.153292e+00  -1.274783e+01  -1.475290e+01  -1.634351e+01
5.159055e+00  -1.285015e+01  -6.790368e+00  -1.805086e+01
5.164786e+00  -1.288672e+01  -1.634351e+01  -1.805086e+01
5.170484e+00  -1.278079e+01  -6.801922e+00  -1.603405e+01
5.176150e+00  -1.288672e+01  -1.513077e+01  -1.453718e+01
5.181784e+00  -1.281487e+01  -6.813268e+00  -1.513077e+01
5.187386e+00  -1.292468e+01  -1.634351e+01  -1.634351e+01
5.192957e+00  -1.278079e+01  -6.824396e+00  -1.634351e+01
5.198497e+00  -1.281487e+01  -1.482970e+01  -1.603405e+01
5.204007e+00  -1.285015e+01  -6.835738e+00  -1.459860e+01
5.209486e+00  -1.288672e+01  -1.603405e+01  -1.502834e+01
5.214936e+00  -1.288672e+01  -6.846678e+00  -1.540976e+01
5.220356e+00  -1.285015e+01  -1.556357e+01  -1.805086e+01
5.225747e+00  -1.296414e+01  -6.857649e+00  -1.634351e+01
5.231109e+00  -1.281487e+01  -1.556357e+01  -1.513077e+01
5.236442e+00  -1.300522e+01  -6.868650e+00  -1.459860e+01
5.241747e+00  -1.292468e+01  -1.453718e+01  -1.805086e+01
5.247024e+00  -1.304806e+01  -6.878400e+00  -1.556357e+01
5.252273e+00  -1.296414e+01  -1.540976e+01  -1.556357e+01
5.257495e+00  -1.313967e+01  -6.889449e+00  -1.603405e+01
5.262690e+00  -1.304806e+01  -1.482970e+01  -1.513077e+01
5.267858e+00  -1.304806e+01  -6.900153e+00  -1.482970e+01
5.273000e+00  -1.318883e+01  -1.603405e+01  -1.556357e+01
5.278115e+00  -1.304806e+01  -6.910500e+00  -1.805086e+01
5.283204e+00  -1.296414e+01  -1.805086e+01  -1.441102e+01
5.288267e+00  -1.313967e+01  -6.920955e+00  -1.603405e+01
5.293305e+00  -1.313967e+01  -1.603405e+01  -1.805086e+01
5.298317e+00  -1.304806e+01  -6.930845e+00  -1.603405e+01
5.303305e+00  -1.347909e+01  -1.540976e+01  -1.540976e+01
5.308268e+00  -1.300522e+01  -6.940737e+00  -1.556357e+01
5.313206e+00  -1.324053e+01  -1.475290e+01  -1.556357e+01
5.318120e+00  -1.313967e+01  -6.950530e+00  -1.513077e+01
5.323010e+00  -1.304806e+01  -1.459860e+01  -1.540976e+01
5.327876e+00  -1.318883e+01  -6.960321e+00  -1.475290e+01
5.332719e+00  -1.300522e+01  -1.805086e+01  -1.482970e+01
5.337538e+00  -1.309282e+01  -6.970309e+00  -1.634351e+01
5.342334e+00  -1.329505e+01  -1.805086e+01  -1.556357e+01
5.347108e+00  -1.335271e+01  -6.979890e+00  -1.634351e+01
5.351858e+00  -1.300522e+01  -1.502834e+01  -1.603405e+01
5.356586e+00  -1.313967e+01  -6.989258e+00  -1.482970e+01
5.361292e+00  -1.296414e+01  -1.540976e+01  -1.634351e+01
5.365976e+00  -1.324053e+01  -6.997888e+00  -1.441102e+01
5.370638e+00  -1.313967e+01  -1.475290e+01  -1.540976e+01
5.375278e+00  -1.329505e+01  -7.008782e+00  -1.513077e+01
5.379897e+00  -1.324053e+01  -1.482970e+01  -1.502834e+01
5.384495e+00  -1.324053e+01  -7.017583e+00  -1.805086e+01
5.389072e+00  -1.354883e+01  -1.556357e+01  -1.805086e+01
5.393628e+00  -1.335271e+01  -7.026888e+00  -1.603405e+01
5.398163e+00  -1.335271e+01  -1.634351e+01  -1.459860e+01
5.402677e+00  -1.335271e+01  -7.035958e+00  -1.634351e+01
5.407172e+00  -1.354883e+01  -1.805086e+01  -1.805086e+01
5.411646e+00  -1.318883e+01  -7.044570e+00  -1.513077e+01
5.416100e+00  -1.329505e+01  -1.459860e+01  -1.453718e+01
5.420535e+00  -1.324053e+01  -7.054457e+00  -1.603405e+01
5.424950e+00  -1.313967e+01  -1.502834e+01  -1.603405e+01
5.429346e+00  -1.309282e+01  -7.062570e+00  -1.805086e+01
5.433722e+00  -1.335271e+01  -1.502834e+01  -1.482970e+01
5.438079e+00  -1.362379e+01  -7.071527e+00  -1.540976e+01
5.442418e+00  -1.354883e+01  -1.805086e+01  -1.513077e+01
5.446737e+00  -1.362379e+01  -7.080004e+00  -1.441102e+01
5.451038e+00  -1.329505e+01  -1.482970e+01  -1.603405e+01
5.455321e+00  -1.304806e+01  -7.088893e+00  -1.603405e+01
5.459586e+00  -1.324053e+01  -1.634351e+01  -1.634351e+01
5.463832e+00  -1.362379e+01  -7.097634e+00  -1.396272e+01
5.468060e+00  -1.335271e+01  -1.805086e+01  -1.603405e+01
5.472271e+00  -1.379302e+01  -7.105876e+00  -1.634351e+01
5.476464e+00  -1.335271e+01  -1.540976e+01  -1.513077e+01
5.480639e+00  -1.354883e+01  -7.114071e+00  -1.540976e+01
5.484797e+00  -1.341391e+01  -1.540976e+01  -1.441102e+01
