#  N   Simpsons     Milne      GSL_QAG_31  
#-----------------------------------------
 689  1.855081e-09  3.960851e-13  7.067899e-16
 693  1.812561e-09  3.764363e-13  7.067899e-16
 697  1.771252e-09  3.615937e-13  7.067899e-16
 701  1.731116e-09  3.467511e-13  7.067899e-16
 705  1.692097e-09  3.410968e-13  7.067899e-16
 709  1.654180e-09  3.306363e-13  7.067899e-16
 713  1.617321e-09  3.166419e-13  7.067899e-16
 717  1.581486e-09  2.999616e-13  7.067899e-16
 721  1.546626e-09  3.001030e-13  7.067899e-16
 725  1.512724e-09  2.895012e-13  7.067899e-16
 729  1.479752e-09  2.793234e-13  7.067899e-16
 733  1.447675e-09  2.677320e-13  7.067899e-16
 737  1.416456e-09  2.585438e-13  7.067899e-16
 741  1.386073e-09  2.558580e-13  7.067899e-16
 745  1.356507e-09  2.437012e-13  7.067899e-16
 749  1.327727e-09  2.282931e-13  7.067899e-16
 753  1.299697e-09  2.288586e-13  7.067899e-16
 757  1.272406e-09  2.206598e-13  7.067899e-16
 761  1.245823e-09  2.199530e-13  7.067899e-16
 765  1.219945e-09  2.041209e-13  7.067899e-16
 769  1.194729e-09  1.936604e-13  7.067899e-16
 773  1.170147e-09  2.015765e-13  7.067899e-16
 777  1.146210e-09  1.932364e-13  7.067899e-16
 781  1.122883e-09  1.785351e-13  7.067899e-16
 785  1.100145e-09  1.717500e-13  7.067899e-16
 789  1.077972e-09  1.666611e-13  7.067899e-16
 793  1.056354e-09  1.707604e-13  7.067899e-16
 797  1.035279e-09  1.632685e-13  7.067899e-16
 801  1.014723e-09  1.645407e-13  7.067899e-16
 805  9.946857e-10  1.516771e-13  7.067899e-16
 809  9.751363e-10  1.443265e-13  7.067899e-16
 813  9.560603e-10  1.427716e-13  7.067899e-16
 817  9.374534e-10  1.378240e-13  7.067899e-16
 821  9.192941e-10  1.324524e-13  7.067899e-16
 825  9.015787e-10  1.249605e-13  7.067899e-16
 829  8.842777e-10  1.232642e-13  7.067899e-16
 833  8.673945e-10  1.166203e-13  7.067899e-16
 837  8.509147e-10  1.176098e-13  7.067899e-16
 841  8.348131e-10  1.169031e-13  7.067899e-16
 845  8.191008e-10  1.195889e-13  7.067899e-16
 849  8.037543e-10  1.111074e-13  7.067899e-16
 853  7.887726e-10  1.047463e-13  7.067899e-16
 857  7.741275e-10  1.014950e-13  7.067899e-16
 861  7.598277e-10  9.683022e-14  7.067899e-16
 865  7.458505e-10  9.781973e-14  7.067899e-16
 869  7.322023e-10  9.273084e-14  7.067899e-16
 873  7.188596e-10  9.258948e-14  7.067899e-16
 877  7.058117e-10  9.131726e-14  7.067899e-16
 881  6.930738e-10  7.986726e-14  7.067899e-16
 885  6.806134e-10  8.198763e-14  7.067899e-16
 889  6.684247e-10  8.467343e-14  7.067899e-16
 893  6.565216e-10  8.255306e-14  7.067899e-16
 897  6.448720e-10  7.986726e-14  7.067899e-16
 901  6.334818e-10  8.071541e-14  7.067899e-16
 905  6.223442e-10  7.548516e-14  7.067899e-16
 909  6.114468e-10  7.732282e-14  7.067899e-16
 913  6.007955e-10  7.265800e-14  7.067899e-16
 917  5.903674e-10  7.152714e-14  7.067899e-16
 921  5.801641e-10  6.615554e-14  7.067899e-16
 925  5.701913e-10  6.318702e-14  7.067899e-16
 929  5.604183e-10  6.686233e-14  7.067899e-16
 933  5.508582e-10  6.403517e-14  7.067899e-16
 937  5.414985e-10  6.474196e-14  7.067899e-16
 941  5.323430e-10  6.205616e-14  7.067899e-16
 945  5.233870e-10  5.710863e-14  7.067899e-16
 949  5.146010e-10  6.007714e-14  7.067899e-16
 953  5.060082e-10  5.498826e-14  7.067899e-16
 957  4.975941e-10  4.622406e-14  7.067899e-16
 961  4.893551e-10  5.032344e-14  7.067899e-16
 965  4.812803e-10  4.890986e-14  7.067899e-16
 969  4.733693e-10  4.989937e-14  7.067899e-16
 973  4.656345e-10  3.986295e-14  7.067899e-16
 977  4.580471e-10  4.155925e-14  7.067899e-16
 981  4.506067e-10  4.382098e-14  7.067899e-16
 985  4.433348e-10  3.986295e-14  7.067899e-16
 989  4.361943e-10  3.576357e-14  7.067899e-16
 993  4.291986e-10  4.071110e-14  7.067899e-16
 997  4.223440e-10  3.661172e-14  7.067899e-16
1001  4.156229e-10  4.438641e-14  7.067899e-16
1005  4.090403e-10  3.972159e-14  7.067899e-16
1009  4.025857e-10  3.943888e-14  7.067899e-16
1013  3.962667e-10  3.152283e-14  7.067899e-16
1017  3.900577e-10  4.028703e-14  7.067899e-16
1021  3.839786e-10  3.434999e-14  7.067899e-16
1025  3.780109e-10  3.265369e-14  7.067899e-16
1029  3.721642e-10  2.657530e-14  7.067899e-16
1033  3.664309e-10  2.629259e-14  7.067899e-16
1037  3.607976e-10  3.392592e-14  7.067899e-16
1041  3.552820e-10  2.798888e-14  7.067899e-16
1045  3.498600e-10  3.208826e-14  7.067899e-16
1049  3.445508e-10  3.251234e-14  7.067899e-16
1053  3.393479e-10  2.657530e-14  7.067899e-16
1057  3.342366e-10  2.346543e-14  7.067899e-16
1061  3.292153e-10  2.374814e-14  7.067899e-16
1065  3.242903e-10  2.784752e-14  7.067899e-16
1069  3.194594e-10  2.699938e-14  7.067899e-16
1073  3.147200e-10  2.572715e-14  7.067899e-16
1077  3.100679e-10  2.021419e-14  7.067899e-16
1081  3.054935e-10  2.516172e-14  7.067899e-16
1085  3.010102e-10  2.502036e-14  7.067899e-16
1089  2.966123e-10  2.572715e-14  7.067899e-16
1093  2.922957e-10  1.781111e-14  7.067899e-16
1097  2.880462e-10  2.445493e-14  7.067899e-16
1101  2.838779e-10  2.049691e-14  7.067899e-16
1105  2.797894e-10  2.106234e-14  7.067899e-16
1109  2.757682e-10  2.077962e-14  7.067899e-16
1113  2.718194e-10  2.106234e-14  7.067899e-16
1117  2.679424e-10  2.431357e-14  7.067899e-16
1121  2.641403e-10  1.752839e-14  7.067899e-16
1125  2.604036e-10  1.385308e-14  7.067899e-16
1129  2.567265e-10  1.950740e-14  7.067899e-16
1133  2.531199e-10  1.653888e-14  7.067899e-16
