# m=1, k=39.4784, p=2
# x0=0, v0=1
# t_start=0, t_end=20, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t))                TE 
10.2800  7.874245773860937e-12  -1.748427581103309e-11  1.528499503181383e-22    1.223904898822325e-21  5.000000000000000e-01
10.2900  7.701329865560004e-12  -1.710032672947344e-11  1.462105871273718e-22    1.170741982397907e-21  5.000000000000000e-01
10.3000  7.532211135071680e-12  -1.672480904643574e-11  1.398596188198693e-22    1.119888310495240e-21  5.000000000000000e-01
10.3100  7.366806197590700e-12  -1.635753761111628e-11  1.337845183495418e-22    1.071243576159403e-21  5.000000000000000e-01
10.3200  7.205033499415347e-12  -1.599833133856352e-11  1.279733028092319e-22    1.024711829481734e-21  5.000000000000000e-01
10.3300  7.046813277737000e-12  -1.564701312039333e-11  1.224145097948805e-22    9.802012883422476e-22  5.000000000000000e-01
10.3400  6.892067521312696e-12  -1.530340973746478e-11  1.170971747963660e-22    9.376241573728489e-22  5.000000000000000e-01
10.3500  6.740719932001317e-12  -1.496735177447367e-11  1.120108095704200e-22    8.968964547842793e-22  5.000000000000000e-01
10.3600  6.592695887144419e-12  -1.463867353642145e-11  1.071453814529629e-22    8.579378467151927e-22  5.000000000000000e-01
10.3700  6.447922402773171e-12  -1.431721296691855e-11  1.024912935700503e-22    8.206714887766360e-22  5.000000000000000e-01
10.3800  6.306328097623258e-12  -1.400281156828164e-11  9.803936590840103e-23    7.850238744793837e-22  5.000000000000000e-01
10.3900  6.167843157940005e-12  -1.369531432338563e-11  9.378081720816580e-23    7.509246902451522e-22  5.000000000000000e-01
10.4000  6.032399303056368e-12  -1.339456961923171e-11  8.970724764222258e-23    7.183066767157111e-22  5.000000000000000e-01
10.4100  5.899929751726822e-12  -1.310042917219383e-11  8.581062224783360e-23    6.871054960863300e-22  5.000000000000000e-01
10.4200  5.770369189200549e-12  -1.281274795490675e-11  8.208325507798360e-23    6.572596052018789e-22  5.000000000000000e-01
10.4300  5.643653735017677e-12  -1.253138412475959e-11  7.851779404113828e-23    6.287101341652681e-22  5.000000000000000e-01
10.4400  5.519720911512721e-12  -1.225619895395963e-11  7.510720639952059e-23    6.014007702187924e-22  5.000000000000000e-01
